iter	RMSE
633	1924100.423
634	1923522.574
635	1922773.807
636	1922245.97
637	1921871.857
638	1921681.522
639	1921542.809
640	1920950.242
641	1920819.34
642	1920146.402
643	1919590.256
644	1918819.236
645	1918264.54
646	1917089.272
647	1916446.544
648	1916183.569
649	1915639.505
650	1914749.925
651	1913959.414
652	1913417.433
653	1913054.22
654	1912498.518
655	1912112.718
656	1911453.462
657	1911018.694
658	1910481.31
659	1909876.948
660	1909409.295
661	1908343.581
662	1908125.637
663	1907723.474
664	1907409.211
665	1906620.165
666	1906210.464
667	1905959.69
668	1904995.199
669	1904977.036
670	1904581.366
671	1903937.562
672	1903479.122
673	1902747.865
674	1902080.924
675	1901468.382
676	1900641.754
677	1900161.773
678	1899881.55
679	1899109.999
680	1898849.509
681	1898201.044
682	1897859.843
683	1897843.676
684	1897419.387
685	1896420.989
686	1895828.568
687	1895807.375
688	1895115.551
689	1894412.46
690	1893995.786
691	1893155.167
692	1892783.599
693	1892144.643
694	1891873.905
695	1891597.123
696	1891272.011
697	1890568.795
698	1890006.47
699	1889614.215
700	1889150.702
701	1888657.899
702	1887921.856
703	1887564.852
704	1887138.919
705	1887121.902
706	1886392.058
707	1886152.24
708	1885553.973
709	1885403.679
710	1884946.086
711	1884374.288
712	1883590.31
713	1883070.007
714	1882790.043
715	1882048.895
716	1881460.323
717	1881001.948
718	1880412.833
719	1879692.027
720	1879032.148
721	1878559.159
722	1878079.287
723	1877545.167
724	1877209.256
725	1876720.753
726	1876362.147
727	1875681.102
728	1875182.136
729	1874369.38
730	1873911.214
731	1873212.03
732	1873134.353
733	1872624.714
734	1872275.799
735	1871731.879
736	1871261.06
737	1870685.867
738	1870344.969
739	1870161.864
740	1869457.163
741	1868897.868
742	1868506.076
743	1867858.17
744	1867384.23
745	1866751.619
746	1866663.435
747	1866525.766
748	1865525.76
749	1864954.53
750	1864435.324
751	1863958.234
752	1863027.573
753	1862227.794
754	1861534.931
755	1861292.36
756	1860551.31
757	1860026.76
758	1859705.3
759	1859113.354
760	1858596.986
761	1857798.134
762	1857349.287
763	1856928.805
764	1856620.57
765	1855800.74
766	1855155.696
767	1854780.554
768	1854353.577
769	1854121.891
770	1853314.6
771	1853301.322
772	1852710.317
773	1851910.01
774	1851192.249
775	1850960.915
776	1850459.081
777	1849920.044
778	1849429.639
779	1849079.616
780	1848721.552
781	1847402.323
782	1846702.717
783	1846323.172
784	1845515.482
785	1844862.212
786	1844290.906
787	1843916.318
788	1842797.145
789	1842458.548
790	1841982.534
791	1841466.479
792	1841256.164
793	1840947.599
794	1840549.567
795	1840004.813
796	1839991.964
797	1839260.104
798	1838662.805
799	1838408.024
800	1837886.771
801	1837413.466
802	1837178.746
803	1836792.077
804	1836779.993
805	1836266.764
806	1836255.28
807	1835734.933
808	1835207.136
809	1834783.887
810	1834052.074
811	1833628.294
812	1833330.681
813	1833208.976
814	1832707.354
815	1831789.097
816	1831415.25
817	1830640.636
818	1830097.801
819	1829706.468
820	1829203.972
821	1828609.479
822	1828126.932
823	1827670.547
824	1827401.856
825	1826883.611
826	1826166.07
827	1826080.78
828	1825505.424
829	1825051.885
830	1824414.537
831	1824175.851
832	1823863.328
833	1823240.721
834	1822847.038
835	1822108.893
836	1821423.987
837	1820898.915
838	1820640.296
839	1820183.373
840	1819425.865
841	1819411.798
842	1818873.531
843	1818484.704
844	1818158.75
845	1818019.948
846	1817876.586
847	1817811.138
848	1817038.468
849	1816200.025
850	1815957.653
851	1815513.241
852	1815476.566
853	1815427.191
854	1814870.535
855	1814278.107
856	1814062.912
857	1813504.611
858	1813466.676
859	1812795.266
860	1812497.942
861	1811713.234
862	1811029.569
863	1810199.692
864	1809793.058
865	1809754.641
866	1809405.564
867	1809097.868
868	1808444.776
869	1808132.791
870	1807809.213
871	1807421.456
872	1807175.042
873	1806895.581
874	1806076.753
875	1805476.496
876	1805035.65
877	1804757.155
878	1804659.817
879	1804400.549
880	1803991.103
881	1803692.526
882	1802965.732
883	1802869.754
884	1802344.409
885	1801872.83
886	1801457.082
887	1800917.549
888	1800268.191
889	1799865.125
890	1799501.054
891	1799004.438
892	1798875.341
893	1798507.819
894	1797930.542
895	1797292.036
896	1797080.692
897	1796418.898
898	1796093.196
899	1795824.092
900	1795137.793
901	1794556.488
902	1793860.523
903	1793409.177
904	1793092.955
905	1792466.636
906	1792007.995
907	1791296.558
908	1790897.576
909	1790606.322
910	1790219.646
911	1789431.753
912	1788752.625
913	1788195.766
914	1787331.526
915	1786842.846
916	1786612.452
917	1786525.516
918	1786262.147
919	1785928.689
920	1785132.431
921	1784880.066
922	1784760.701
923	1784413.829
924	1783924.61
925	1783624.926
926	1783098.049
927	1782664.919
928	1782176.011
929	1781206.335
930	1780703.964
931	1780020.517
932	1779617.634
933	1779056.178
934	1778575.254
935	1778007.4
936	1777614.072
937	1777330.278
938	1776914.732
939	1776902.862
940	1776343.145
941	1775783.067
942	1775754.926
943	1775379.971
944	1775172.358
945	1774479.139
946	1774081.949
947	1773887.765
948	1773872.918
949	1773326.407
950	1773079.119
951	1772656.174
952	1772235.356
953	1772028.396
954	1771828.128
955	1771368.484
956	1771029.074
957	1771002.719
958	1770455.084
959	1770025.954
960	1769187.894
961	1768733.17
962	1768244.318
963	1767888.911
964	1767154.973
965	1766406.613
966	1765646.23
967	1764881.303
968	1764430.124
969	1764270.805
970	1763713.821
971	1762858.739
972	1762355.59
973	1761633.511
974	1761114.437
975	1760901.638
976	1760589.865
977	1760067.444
978	1759399.624
979	1758904.931
980	1758375.133
981	1758307.489
982	1758011.826
983	1757603.664
984	1757229.135
985	1757069.663
986	1757057.266
987	1756412.516
988	1755980.445
989	1755649.535
990	1755067.196
991	1754418.008
992	1753857.601
993	1753206.516
994	1752754.077
995	1751947.49
996	1751594.389
997	1751332.913
998	1750940.918
999	1750295.348
